keyword,score
nifty,12.630199680632163
sensex,12.258917570383002
banknifty,9.677586548917882
stockmarket,8.75881781342824
nifty50,7.780683883984493
intraday,7.628990141547499
amibridge,6.949035189828549
trading,6.242765671022276
stocks,6.03724106564057
stockmarketindia,5.782236367586679
market,5.240696353271225
replying,5.081080001326236
markets,4.3070732342340525
jul,4.290934952401175
5m,4.2249835342845685
target,3.9862948249147494
sharemarket,3.892317336834546
news,3.733567931686166
ce,3.7202340074607614
businesstimesin,3.6177254322715964
quote,3.6167746747004665
2026,3.5198606340471876
data,3.519596007762142
stock,3.5039346626730836
sl,3.4953500693319803
1h,3.4533877368602592
10,3.388478698857992
breakout,3.2520943021022917
4m,3.2046039854325503
bse,3.196381279007307
update,3.1556107244332483
50,3.045233081957968
nse,3.0325988511665063
today,2.983440950726639
price,2.9680441964763378
strong,2.9636675814350464
30,2.8896971150230795
giftnifty,2.850540722932416
com,2.8452712527307193
shares,2.7243178744698873
points,2.6523094873674427
15,2.632301398626695
indian,2.6067352133305945
business,2.5784242507044524
75,2.1941732035038823
gold,2.053563348902918
amibridgehelp,1.8626993442742004
best,1.6606586878620544
amibroker,1.6606586878620544
plugin,1.6606586878620544
